label,method,eta0,trees,eta,control_logloss,test_logloss,test_accuracy,training_wall_seconds
prior_draw_00,fixed,0.05932664870288102,25,0.05932664870288102,0.6713416576385498,0.6717284917831421,0.7553866666666667,0.738755583006423
prior_draw_00,fixed,0.05932664870288102,50,0.05932664870288102,0.561028778553009,0.5626676082611084,0.77408,1.4210210830060532
prior_draw_00,fixed,0.05932664870288102,75,0.05932664870288102,0.5167659521102905,0.519558846950531,0.78328,2.1080040829983773
prior_draw_00,fixed,0.05932664870288102,100,0.05932664870288102,0.4926303029060364,0.4955291152000427,0.7905066666666667,2.753676666005049
prior_draw_00,fixed,0.05932664870288102,125,0.05932664870288102,0.47378864884376526,0.47702834010124207,0.79656,3.4187857500073733
prior_draw_00,fixed,0.05932664870288102,150,0.05932664870288102,0.4594275951385498,0.4626707434654236,0.80248,4.056872540997574
prior_draw_00,fixed,0.05932664870288102,175,0.05932664870288102,0.44858160614967346,0.4516032338142395,0.8070666666666667,4.688692791009089
prior_draw_00,fixed,0.05932664870288102,200,0.05932664870288102,0.4372759461402893,0.4403689503669739,0.8119466666666667,5.364499165996676
prior_draw_00,fixed,0.05932664870288102,225,0.05932664870288102,0.426296204328537,0.42956286668777466,0.81728,6.00806824999745
prior_draw_00,fixed,0.05932664870288102,250,0.05932664870288102,0.4153049886226654,0.4187922179698944,0.82272,6.699988125008531
prior_draw_00,fixed,0.05932664870288102,275,0.05932664870288102,0.4050096273422241,0.408401221036911,0.8288,7.364790791005362
prior_draw_00,fixed,0.05932664870288102,300,0.05932664870288102,0.3967275023460388,0.4001571834087372,0.8327733333333334,8.047474666003836
prior_draw_00,fixed,0.05932664870288102,325,0.05932664870288102,0.38891464471817017,0.39237067103385925,0.8369066666666667,8.721850166009972
prior_draw_00,fixed,0.05932664870288102,350,0.05932664870288102,0.3832680284976959,0.38674288988113403,0.8391733333333333,9.392094041002565
prior_draw_00,fixed,0.05932664870288102,375,0.05932664870288102,0.3743381202220917,0.3777375817298889,0.8441333333333333,10.081903041005717
prior_draw_00,fixed,0.05932664870288102,400,0.05932664870288102,0.36909160017967224,0.3725440502166748,0.84616,10.770951583006536
prior_draw_00,fixed,0.05932664870288102,425,0.05932664870288102,0.36363115906715393,0.36710911989212036,0.8490133333333333,11.440501000004588
prior_draw_00,fixed,0.05932664870288102,450,0.05932664870288102,0.3575509190559387,0.36097368597984314,0.8520533333333333,12.142960083001526
prior_draw_00,fixed,0.05932664870288102,475,0.05932664870288102,0.35029444098472595,0.3538108468055725,0.8547733333333334,12.825263833001372
prior_draw_00,fixed,0.05932664870288102,500,0.05932664870288102,0.3461908996105194,0.3496299982070923,0.8568266666666666,13.519210416008718
prior_draw_00,fixed,0.05932664870288102,525,0.05932664870288102,0.34124812483787537,0.34449905157089233,0.8596533333333334,14.190927415998885
prior_draw_00,fixed,0.05932664870288102,550,0.05932664870288102,0.33549797534942627,0.33880943059921265,0.8628266666666666,14.859604124998441
prior_draw_00,fixed,0.05932664870288102,575,0.05932664870288102,0.3296658396720886,0.3328060805797577,0.86616,15.57804454100551
prior_draw_00,fixed,0.05932664870288102,600,0.05932664870288102,0.32685714960098267,0.330079585313797,0.86704,16.245664540998405
prior_draw_00,fixed,0.05932664870288102,625,0.05932664870288102,0.32153984904289246,0.32475391030311584,0.86904,16.94817766601045
prior_draw_00,fixed,0.05932664870288102,650,0.05932664870288102,0.3164111375808716,0.3197445571422577,0.8718666666666667,17.635700915998314
prior_draw_00,fixed,0.05932664870288102,675,0.05932664870288102,0.3122366666793823,0.31540554761886597,0.8736533333333333,18.360205040997243
