method,eta,best_round,control_logloss,test_logloss,test_accuracy
fixed_eta_0.025,0.025,500,0.42558082938194275,0.4285429120063782,0.81912
fixed_eta_0.05,0.05,500,0.3528722822666168,0.3555123507976532,0.8545333333333334
fixed_eta_0.1,0.1,500,0.2704719305038452,0.2721671760082245,0.89408
fixed_eta_0.2,0.2,500,0.20393003523349762,0.20698107779026031,0.92304
fixed_eta_0.3,0.3,500,0.17995043098926544,0.18331703543663025,0.93312
hand_decay_schedule,,500,0.2771742641925812,0.2788611054420471,0.8902133333333333
rollout_oracle_k25,,500,0.17497919499874115,0.17782410979270935,0.9345066666666667
