eta0,fixed_final_eta,fixed_control_logloss,fixed_test_logloss,fixed_test_accuracy,adaptive_final_eta,adaptive_control_logloss,adaptive_test_logloss,adaptive_test_accuracy,label,paired_test_logloss_delta,adaptive_wins
0.05932664870288102,0.05932664870288102,0.3003734350204468,0.3034599721431732,0.87848,0.11430375981315954,0.23792614042758942,0.24005651473999023,0.9083466666666666,prior_draw_00,-0.06340345740318298,True
0.13549924068595431,0.13549924068595431,0.21282239258289337,0.2142297327518463,0.91984,0.23894175569848217,0.17455080151557922,0.17694354057312012,0.9348266666666667,prior_draw_01,-0.037286192178726196,True
0.36697752501596925,0.36697752501596925,0.15475817024707794,0.15522244572639465,0.9431733333333333,0.6739432619925003,0.1495739072561264,0.1528480499982834,0.9473066666666666,prior_draw_02,-0.002374395728111267,True
0.6166301227584332,0.6166301227584332,0.1629231572151184,0.1631796658039093,0.94552,0.7657204025155111,0.17159533500671387,0.17060089111328125,0.9467466666666666,prior_draw_03,0.007421225309371948,False
0.24082434943414585,0.24082434943414585,0.17046871781349182,0.17313402891159058,0.9372266666666667,0.4303702960368992,0.1514083594083786,0.15447407960891724,0.9439466666666667,prior_draw_04,-0.01865994930267334,True
0.2126839594718725,0.2126839594718725,0.17888997495174408,0.17959991097450256,0.9343733333333333,0.3770016523428572,0.15397892892360687,0.1548544019460678,0.9433866666666667,prior_draw_05,-0.024745509028434753,True
0.2681856460892622,0.2681856460892622,0.16580387949943542,0.1691182404756546,0.9373066666666666,0.4840990096223325,0.14973226189613342,0.15222521126270294,0.94536,prior_draw_06,-0.01689302921295166,True
0.08960210240488053,0.08960210240488053,0.24962781369686127,0.25159206986427307,0.90344,0.16283741284734232,0.2027992457151413,0.20540288090705872,0.9238666666666666,prior_draw_07,-0.046189188957214355,True
0.06516353689472666,0.06516353689472666,0.28861239552497864,0.2912995219230652,0.8841066666666667,0.12396565242996267,0.22539739310741425,0.2286701500415802,0.9141866666666667,prior_draw_08,-0.06262937188148499,True
0.07842685754114745,0.07842685754114745,0.26722609996795654,0.26971662044525146,0.8949333333333334,0.14495687492611395,0.2112162858247757,0.21292267739772797,0.9204266666666666,prior_draw_09,-0.0567939430475235,True
0.33666999590715646,0.33666999590715646,0.15581181645393372,0.15785956382751465,0.9422666666666667,0.6156568630473503,0.14872056245803833,0.1528695821762085,0.94576,prior_draw_10,-0.004989981651306152,True
0.14399612455465047,0.14399612455465047,0.20739461481571198,0.2107095867395401,0.9205333333333333,0.2533902918965754,0.17194922268390656,0.17463146150112152,0.9347466666666666,prior_draw_11,-0.03607812523841858,True
0.7580901256191636,0.7580901256191636,0.1807062178850174,0.1850178837776184,0.9436,0.7813512737302183,0.18085919320583344,0.18177028000354767,0.9445333333333333,prior_draw_12,-0.0032476037740707397,True
0.28972543141485485,0.28972543141485485,0.16427485644817352,0.16667531430721283,0.9394933333333333,0.5268106282952133,0.14988991618156433,0.15279044210910797,0.9457066666666667,prior_draw_13,-0.013884872198104858,True
0.25365837782099443,0.25365837782099443,0.17015062272548676,0.17125216126441956,0.93744,0.454371216744131,0.15132449567317963,0.15260934829711914,0.9445866666666667,prior_draw_14,-0.018642812967300415,True
0.2028722393431973,0.2028722393431973,0.1837964653968811,0.18514198064804077,0.9313066666666666,0.35765769021729127,0.15346047282218933,0.1565571427345276,0.9426666666666667,prior_draw_15,-0.028584837913513184,True
0.16507068845153322,0.16507068845153322,0.19586549699306488,0.1971990466117859,0.92696,0.29064945931268005,0.16307130455970764,0.16487495601177216,0.93904,prior_draw_16,-0.03232409060001373,True
0.36176960757866555,0.36176960757866555,0.15414172410964966,0.15870371460914612,0.9423466666666667,0.6613947508444735,0.14703623950481415,0.15176093578338623,0.9478133333333333,prior_draw_17,-0.006942778825759888,True
0.22704964221064544,0.22704964221064544,0.17434802651405334,0.17647723853588104,0.9344,0.4053512059153843,0.14989763498306274,0.15301692485809326,0.9444533333333334,prior_draw_18,-0.02346031367778778,True
0.17479494764372833,0.17479494764372833,0.19115737080574036,0.19326697289943695,0.9282133333333333,0.3072857704958968,0.16220073401927948,0.16242220997810364,0.94072,prior_draw_19,-0.030844762921333313,True
