method,eta,best_round,control_logloss,test_logloss,test_accuracy
fixed_eta_0.1,0.1,750,0.24040822684764862,0.24249283969402313,0.90712
fixed_eta_0.2,0.2,750,0.18144601583480835,0.18323704600334167,0.9335466666666666
fixed_eta_0.3,0.3,750,0.16338132321834564,0.16285750269889832,0.9397866666666667
fixed_eta_0.4,0.4,750,0.15071840584278107,0.1528652310371399,0.9433866666666667
fixed_eta_0.5,0.5,750,0.15257178246974945,0.1528932750225067,0.94664
rollout_oracle_k25,,750,0.15203285217285156,0.15392999351024628,0.9452266666666667
