label,eta0,aq_final_eta,aq_control_logloss,aq_test_logloss,aq_test_accuracy,aq_final_wall_seconds,aq_labels_matured,aq_greedy_blocks,aq_random_blocks,aq_boundary_eta_fraction,hypergrad_test_logloss,aq_minus_hypergrad_test_logloss,aq_beats_hypergrad,discrete_q_test_logloss,aq_minus_discrete_q_test_logloss,aq_beats_discrete_q,previous_continuous_q_test_logloss,aq_minus_previous_continuous_test_logloss,aq_beats_previous_continuous
prior_draw_00,0.059326648702881,0.7363258664957674,0.14854589104652405,0.15100739896297455,0.9453333333333334,66.03565179200086,70,48,26,0.49333333333333335,0.2400565147399902,-0.08904911577701566,True,0.1532568782567978,-0.002249479293823242,True,0.1534184366464615,-0.0024110376834869385,True
prior_draw_01,0.1354992406859543,0.7998728057487413,0.15330465137958527,0.1569918692111969,0.9422933333333333,67.78206933299953,70,50,24,0.3333333333333333,0.1769435405731201,-0.01995167136192319,True,0.1550340354442596,0.0019578337669373114,False,0.1626867204904556,-0.0056948512792587,True
prior_draw_02,0.3669775250159692,0.042604273571165724,0.16907867789268494,0.17164765298366547,0.9370666666666667,67.68696845900558,70,46,28,0.3333333333333333,0.1528480499982834,0.01879960298538208,False,0.1554797142744064,0.01616793870925906,False,0.2159072160720825,-0.044259563088417025,True
prior_draw_03,0.6166301227584332,0.8,0.1683313548564911,0.16672320663928986,0.94384,68.44175570899097,70,50,24,0.37333333333333335,0.1706008911132812,-0.0038776844739913385,True,0.1680847406387329,-0.0013615339994430542,True,0.1684028506278991,-0.0016796439886092307,True
prior_draw_04,0.2408243494341458,0.5267382940168011,0.1530393809080124,0.15573573112487793,0.9447466666666666,69.15988333299174,70,47,27,0.41333333333333333,0.1544740796089172,0.0012616515159607211,False,0.154863566160202,0.0008721649646759311,False,0.1549515575170517,0.0007841736078262329,False
prior_draw_05,0.2126839594718725,0.08756054416436455,0.15207770466804504,0.15490080416202545,0.9439733333333333,67.88822466701095,70,51,23,0.08,0.1548544019460678,4.64022159576416e-05,False,0.1553837954998016,-0.0004829913377761563,True,0.1513792425394058,0.0035215616226196567,False
prior_draw_06,0.2681856460892622,0.8,0.17686741054058075,0.1826564073562622,0.9325866666666667,64.88900341700355,70,49,25,0.10666666666666667,0.1522252112627029,0.03043119609355932,False,0.1554028838872909,0.027253523468971308,False,0.1650905162096023,0.017565891146659907,False
prior_draw_07,0.0896021024048805,0.038763383042146,0.19738997519016266,0.1992984563112259,0.92608,64.64348195798812,70,49,25,0.05333333333333334,0.2054028809070587,-0.006104424595832797,True,0.1535953432321548,0.0457031130790711,False,0.1650287955999374,0.03426966071128848,False
prior_draw_08,0.0651635368947266,0.8,0.15033575892448425,0.15315061807632446,0.9447733333333334,64.33640087499225,70,45,29,0.37333333333333335,0.2286701500415802,-0.07551953196525574,True,0.159409150481224,-0.006258532404899542,True,0.15562105178833,-0.002470433712005532,True
prior_draw_09,0.0784268575411474,0.5525216240092267,0.15660460293293,0.16070270538330078,0.9402933333333333,65.49561687500682,70,50,24,0.08,0.2129226773977279,-0.05221997201442713,True,0.1536998301744461,0.007002875208854675,False,0.2498113214969635,-0.08910861611366272,True
prior_draw_10,0.3366699959071564,0.7010140116099264,0.14793261885643005,0.15312840044498444,0.9476,66.15711995800666,70,49,25,0.16,0.1528695821762085,0.00025881826877593994,False,0.1547471135854721,-0.001618713140487671,True,0.1522684395313263,0.0008599609136581421,False
prior_draw_11,0.1439961245546504,0.7999999999999999,0.15014156699180603,0.15421198308467865,0.9449333333333333,66.52555966599903,70,47,27,0.4666666666666667,0.1746314615011215,-0.020419478416442843,True,0.1534008532762527,0.0008111298084259588,False,0.1537036150693893,0.0005083680152893622,False
prior_draw_12,0.7580901256191636,0.03695811311858156,0.2079952359199524,0.2120971828699112,0.9291466666666667,63.73798424999404,70,49,25,0.0,0.1817702800035476,0.03032690286636358,False,0.1861102432012558,0.025986939668655396,False,0.2153282016515731,-0.003231018781661904,True
prior_draw_13,0.2897254314148548,0.5889377185243618,0.15326356887817383,0.15465323626995087,0.9452,66.15396445800434,70,47,27,0.08,0.1527904421091079,0.0018627941608429788,False,0.1557894200086593,-0.0011361837387084406,True,0.1545119285583496,0.00014130771160125732,False
prior_draw_14,0.2536583778209944,0.6602803560810085,0.14980536699295044,0.15300841629505157,0.9472266666666667,71.06550837500254,70,47,27,0.26666666666666666,0.1526093482971191,0.00039906799793246184,False,0.1559432297945022,-0.002934813499450628,True,0.1550554186105728,-0.0020470023155212125,True
prior_draw_15,0.2028722393431973,0.03,0.16700544953346252,0.1711280196905136,0.93688,66.93242166600248,70,49,25,0.08,0.1565571427345276,0.014570876955986023,False,0.1522484719753265,0.0188795477151871,False,0.1711001545190811,2.7865171432522873e-05,False
prior_draw_16,0.1650706884515332,0.7211341479454837,0.1486656218767166,0.1515308916568756,0.94696,66.20013229100732,70,44,30,0.12,0.1648749560117721,-0.01334406435489649,True,0.1525410562753677,-0.0010101646184920987,True,0.1555084437131881,-0.003977552056312478,True
prior_draw_17,0.3617696075786655,0.7014047568852,0.14912161231040955,0.152800053358078,0.9454933333333333,66.39161745899764,70,50,24,0.06666666666666667,0.1517609357833862,0.0010391175746918002,False,0.1542907506227493,-0.001490697264671298,True,0.1530399769544601,-0.0002399235963820856,True
prior_draw_18,0.2270496422106454,0.098028603406211,0.15129385888576508,0.15440884232521057,0.9438666666666666,65.47412229199836,70,51,23,0.26666666666666666,0.1530169248580932,0.001391917467117365,False,0.1574818938970565,-0.003073051571845925,True,0.1530338078737259,0.0013750344514846802,False
prior_draw_19,0.1747949476437283,0.8,0.14814583957195282,0.15332892537117004,0.94584,64.76089199999114,70,43,31,0.44,0.1624222099781036,-0.009093284606933566,True,0.1526312977075576,0.000697627663612449,False,0.151914581656456,0.0014143437147140503,False
