eta0,fixed_final_eta,fixed_control_logloss,fixed_test_logloss,fixed_test_accuracy,adaptive_final_eta,adaptive_control_logloss,adaptive_test_logloss,adaptive_test_accuracy,label,paired_test_logloss_delta,adaptive_wins
0.05932664870288102,0.05932664870288102,0.3003734350204468,0.3034599721431732,0.87848,0.12614302121871213,0.22588427364826202,0.22913821041584015,0.9125866666666667,prior_draw_00,-0.07432176172733307,True
0.13549924068595431,0.13549924068595431,0.21282239258289337,0.2142297327518463,0.91984,0.27752955467377793,0.1680283099412918,0.17009341716766357,0.93712,prior_draw_01,-0.04413631558418274,True
0.36697752501596925,0.36697752501596925,0.15475817024707794,0.15522244572639465,0.9431733333333333,0.7784190919772691,0.15321646630764008,0.15562419593334198,0.9469066666666667,prior_draw_02,0.00040175020694732666,False
0.6166301227584332,0.6166301227584332,0.1629231572151184,0.1631796658039093,0.94552,0.7681621270248962,0.17205366492271423,0.17117080092430115,0.9469333333333333,prior_draw_03,0.007991135120391846,False
0.24082434943414585,0.24082434943414585,0.17046871781349182,0.17313402891159058,0.9372266666666667,0.516111540905813,0.14768578112125397,0.15181182324886322,0.9451466666666667,prior_draw_04,-0.021322205662727356,True
0.2126839594718725,0.2126839594718725,0.17888997495174408,0.17959991097450256,0.9343733333333333,0.4331364237495265,0.1510728895664215,0.15387482941150665,0.9446133333333333,prior_draw_05,-0.02572508156299591,True
0.2681856460892622,0.2681856460892622,0.16580387949943542,0.1691182404756546,0.9373066666666666,0.5723974853606274,0.14936015009880066,0.15244832634925842,0.94584,prior_draw_06,-0.01666991412639618,True
0.08960210240488053,0.08960210240488053,0.24962781369686127,0.25159206986427307,0.90344,0.19052204971823627,0.19194097816944122,0.19448179006576538,0.92664,prior_draw_07,-0.05711027979850769,True
0.06516353689472666,0.06516353689472666,0.28861239552497864,0.2912995219230652,0.8841066666666667,0.14426954127476208,0.21609359979629517,0.21894624829292297,0.91776,prior_draw_08,-0.07235327363014221,True
0.07842685754114745,0.07842685754114745,0.26722609996795654,0.26971662044525146,0.8949333333333334,0.1677883964308069,0.2038659155368805,0.20648075640201569,0.9227733333333333,prior_draw_09,-0.06323586404323578,True
0.33666999590715646,0.33666999590715646,0.15581181645393372,0.15785956382751465,0.9422666666666667,0.7404314498558363,0.15161602199077606,0.15500414371490479,0.9471466666666667,prior_draw_10,-0.0028554201126098633,True
0.14399612455465047,0.14399612455465047,0.20739461481571198,0.2107095867395401,0.9205333333333333,0.2892103021374243,0.16696839034557343,0.16805453598499298,0.93808,prior_draw_11,-0.04265505075454712,True
0.7580901256191636,0.7580901256191636,0.1807062178850174,0.1850178837776184,0.9436,0.7956845377938111,0.1787557303905487,0.18223650753498077,0.9444266666666666,prior_draw_12,-0.0027813762426376343,True
0.28972543141485485,0.28972543141485485,0.16427485644817352,0.16667531430721283,0.9394933333333333,0.635329108241077,0.14834827184677124,0.15201963484287262,0.9472,prior_draw_13,-0.01465567946434021,True
0.25365837782099443,0.25365837782099443,0.17015062272548676,0.17125216126441956,0.93744,0.524927572605089,0.14776434004306793,0.15177039802074432,0.9445066666666667,prior_draw_14,-0.019481763243675232,True
0.2028722393431973,0.2028722393431973,0.1837964653968811,0.18514198064804077,0.9313066666666666,0.4417141246410252,0.14976142346858978,0.15008315443992615,0.9451733333333333,prior_draw_15,-0.035058826208114624,True
0.16507068845153322,0.16507068845153322,0.19586549699306488,0.1971990466117859,0.92696,0.3552668869454686,0.15519151091575623,0.1580171138048172,0.9420266666666667,prior_draw_16,-0.03918193280696869,True
0.36176960757866555,0.36176960757866555,0.15414172410964966,0.15870371460914612,0.9423466666666667,0.7375588330011202,0.15082387626171112,0.15568438172340393,0.9481066666666667,prior_draw_17,-0.0030193328857421875,True
0.22704964221064544,0.22704964221064544,0.17434802651405334,0.17647723853588104,0.9344,0.48417525133975686,0.14740857481956482,0.15122902393341064,0.9449866666666666,prior_draw_18,-0.025248214602470398,True
0.17479494764372833,0.17479494764372833,0.19115737080574036,0.19326697289943695,0.9282133333333333,0.375737032268127,0.1539517492055893,0.15505972504615784,0.94288,prior_draw_19,-0.038207247853279114,True
