label,method,eta0,trees,eta,control_logloss,test_logloss,test_accuracy,training_wall_seconds
prior_draw_00,fixed,0.05932664870288102,25,0.05932664870288102,0.6713416576385498,0.6717284917831421,0.7553866666666667,0.7990900000004331
prior_draw_00,fixed,0.05932664870288102,50,0.05932664870288102,0.561028778553009,0.5626676082611084,0.77408,1.5488526249973802
prior_draw_00,fixed,0.05932664870288102,75,0.05932664870288102,0.5167659521102905,0.519558846950531,0.78328,2.24448779199156
prior_draw_00,fixed,0.05932664870288102,100,0.05932664870288102,0.4926303029060364,0.4955291152000427,0.7905066666666667,2.899928958999226
prior_draw_00,fixed,0.05932664870288102,125,0.05932664870288102,0.47378864884376526,0.47702834010124207,0.79656,3.5525513749889797
prior_draw_00,fixed,0.05932664870288102,150,0.05932664870288102,0.4594275951385498,0.4626707434654236,0.80248,4.199890459000017
prior_draw_00,fixed,0.05932664870288102,175,0.05932664870288102,0.44858160614967346,0.4516032338142395,0.8070666666666667,4.837013124997611
prior_draw_00,fixed,0.05932664870288102,200,0.05932664870288102,0.4372759461402893,0.4403689503669739,0.8119466666666667,5.489876708990778
prior_draw_00,fixed,0.05932664870288102,225,0.05932664870288102,0.426296204328537,0.42956286668777466,0.81728,6.15085687499959
prior_draw_00,fixed,0.05932664870288102,250,0.05932664870288102,0.4153049886226654,0.4187922179698944,0.82272,6.854178708992549
prior_draw_00,fixed,0.05932664870288102,275,0.05932664870288102,0.4050096273422241,0.408401221036911,0.8288,7.527982792002149
prior_draw_00,fixed,0.05932664870288102,300,0.05932664870288102,0.3967275023460388,0.4001571834087372,0.8327733333333334,8.193586749999668
prior_draw_00,fixed,0.05932664870288102,325,0.05932664870288102,0.38891464471817017,0.39237067103385925,0.8369066666666667,8.875819209002657
prior_draw_00,fixed,0.05932664870288102,350,0.05932664870288102,0.3832680284976959,0.38674288988113403,0.8391733333333333,9.53061549999984
prior_draw_00,fixed,0.05932664870288102,375,0.05932664870288102,0.3743381202220917,0.3777375817298889,0.8441333333333333,10.227655666996725
prior_draw_00,fixed,0.05932664870288102,400,0.05932664870288102,0.36909160017967224,0.3725440502166748,0.84616,10.919630749995122
prior_draw_00,fixed,0.05932664870288102,425,0.05932664870288102,0.36363115906715393,0.36710911989212036,0.8490133333333333,11.596268875000533
prior_draw_00,fixed,0.05932664870288102,450,0.05932664870288102,0.3575509190559387,0.36097368597984314,0.8520533333333333,12.287593041997752
prior_draw_00,fixed,0.05932664870288102,475,0.05932664870288102,0.35029444098472595,0.3538108468055725,0.8547733333333334,12.988553584000329
prior_draw_00,fixed,0.05932664870288102,500,0.05932664870288102,0.3461908996105194,0.3496299982070923,0.8568266666666666,13.682743249999476
prior_draw_00,fixed,0.05932664870288102,525,0.05932664870288102,0.34124812483787537,0.34449905157089233,0.8596533333333334,14.415335124998819
prior_draw_00,fixed,0.05932664870288102,550,0.05932664870288102,0.33549797534942627,0.33880943059921265,0.8628266666666666,15.122078624990536
prior_draw_00,fixed,0.05932664870288102,575,0.05932664870288102,0.3296658396720886,0.3328060805797577,0.86616,15.839226916999905
prior_draw_00,fixed,0.05932664870288102,600,0.05932664870288102,0.32685714960098267,0.330079585313797,0.86704,16.515934374998324
prior_draw_00,fixed,0.05932664870288102,625,0.05932664870288102,0.32153984904289246,0.32475391030311584,0.86904,17.18680566699186
prior_draw_00,fixed,0.05932664870288102,650,0.05932664870288102,0.3164111375808716,0.3197445571422577,0.8718666666666667,17.874971166995238
prior_draw_00,fixed,0.05932664870288102,675,0.05932664870288102,0.3122366666793823,0.31540554761886597,0.8736533333333333,18.560157083993545
prior_draw_00,fixed,0.05932664870288102,700,0.05932664870288102,0.3078664541244507,0.31111037731170654,0.87536,19.24038579199987
prior_draw_00,fixed,0.05932664870288102,725,0.05932664870288102,0.30453020334243774,0.30776041746139526,0.87656,19.9116831249994
prior_draw_00,fixed,0.05932664870288102,750,0.05932664870288102,0.3003734350204468,0.3034599721431732,0.87848,20.6367706250021
prior_draw_00,adaptive,0.05932664870288102,25,0.08620724445026601,0.6370532512664795,0.6379553079605103,0.76192,1.33021854099934
prior_draw_00,adaptive,0.05932664870288102,50,0.09816538758596793,0.5244606137275696,0.5268861055374146,0.7818933333333333,3.6525526659970637
prior_draw_00,adaptive,0.05932664870288102,75,0.10095866761528001,0.4825176000595093,0.48564958572387695,0.7930133333333333,6.828591124998638
prior_draw_00,adaptive,0.05932664870288102,100,0.1034936021063323,0.459301620721817,0.4624910354614258,0.8030133333333334,10.98308929099585
prior_draw_00,adaptive,0.05932664870288102,125,0.10489846936693366,0.4401230216026306,0.4431115686893463,0.81048,16.040440290991683
prior_draw_00,adaptive,0.05932664870288102,150,0.10715809082847583,0.4217372536659241,0.4250204265117645,0.8191466666666667,21.87751620799827
prior_draw_00,adaptive,0.05932664870288102,175,0.10845124333958775,0.40426546335220337,0.40737009048461914,0.8288266666666667,28.40194091599551
prior_draw_00,adaptive,0.05932664870288102,200,0.10974927048510566,0.39052295684814453,0.39349040389060974,0.8360266666666667,35.520144915994024
