label,eta0,q_final_eta,q_control_logloss,q_test_logloss,q_test_accuracy,q_final_wall_seconds,q_labels_matured,q_greedy_blocks,q_random_blocks,hypergrad_test_logloss,hypergrad_control_logloss,hypergrad_final_eta,q_minus_hypergrad_test_logloss,q_beats_hypergrad
prior_draw_00,0.059326648702881,0.8,0.15015530586242676,0.1532568782567978,0.94432,63.759197207997204,70,50,24,0.2400565147399902,0.2379261404275894,0.1143037598131595,-0.08679963648319242,True
prior_draw_01,0.1354992406859543,0.8,0.14799317717552185,0.15503403544425964,0.94456,64.43773624999449,70,48,26,0.1769435405731201,0.1745508015155792,0.2389417556984821,-0.021909505128860446,True
prior_draw_02,0.3669775250159692,0.29446102371360156,0.15148836374282837,0.15547971427440643,0.9452533333333333,63.444543208999676,70,47,27,0.1528480499982834,0.1495739072561264,0.6739432619925003,0.002631664276123047,False
prior_draw_03,0.6166301227584332,0.26553772002756854,0.16923213005065918,0.1680847406387329,0.9453066666666666,63.88261854200391,70,46,28,0.1706008911132812,0.1715953350067138,0.7657204025155111,-0.0025161504745482843,True
prior_draw_04,0.2408243494341458,0.8,0.15232223272323608,0.15486356616020203,0.94704,63.87873695899907,70,46,28,0.1544740796089172,0.1514083594083786,0.4303702960368992,0.0003894865512848178,False
prior_draw_05,0.2126839594718725,0.8,0.15007182955741882,0.15538379549980164,0.9467733333333334,64.2887238330004,70,49,25,0.1548544019460678,0.1539789289236068,0.3770016523428572,0.0005293935537338257,False
prior_draw_06,0.2681856460892622,0.8,0.14995545148849487,0.15540288388729095,0.9466133333333333,64.37541391699051,70,48,26,0.1522252112627029,0.1497322618961334,0.4840990096223325,0.003177672624588068,False
prior_draw_07,0.0896021024048805,0.8,0.1517425775527954,0.15359534323215485,0.9453866666666667,63.64837283399538,70,47,27,0.2054028809070587,0.2027992457151413,0.1628374128473423,-0.05180753767490384,True
prior_draw_08,0.0651635368947266,0.29572096973242284,0.15420179069042206,0.15940915048122406,0.94128,62.815189208995434,70,49,25,0.2286701500415802,0.2253973931074142,0.1239656524299626,-0.06926099956035614,True
prior_draw_09,0.0784268575411474,0.8,0.15002356469631195,0.1536998301744461,0.9445333333333333,64.23378566700558,70,48,26,0.2129226773977279,0.2112162858247757,0.1449568749261139,-0.059222847223281805,True
prior_draw_10,0.3366699959071564,0.8,0.15047676861286163,0.1547471135854721,0.94664,66.6723426660028,70,50,24,0.1528695821762085,0.1487205624580383,0.6156568630473503,0.0018775314092636108,False
prior_draw_11,0.1439961245546504,0.8,0.14923466742038727,0.15340085327625275,0.946,64.39514916700136,70,50,24,0.1746314615011215,0.1719492226839065,0.2533902918965754,-0.021230608224868747,True
prior_draw_12,0.7580901256191636,0.6548280308776743,0.17769218981266022,0.1861102432012558,0.9443466666666667,63.184156792005524,70,49,25,0.1817702800035476,0.1808591932058334,0.7813512737302183,0.004339963197708185,False
prior_draw_13,0.2897254314148548,0.8,0.15240705013275146,0.15578942000865936,0.9465866666666667,63.70935916699818,70,52,22,0.1527904421091079,0.1498899161815643,0.5268106282952133,0.002998977899551475,False
prior_draw_14,0.2536583778209944,0.8,0.1507258266210556,0.15594322979450226,0.9450933333333333,64.6499601250107,70,48,26,0.1526093482971191,0.1513244956731796,0.454371216744131,0.0033338814973831454,False
prior_draw_15,0.2028722393431973,0.8,0.15073652565479279,0.15224847197532654,0.94768,63.48275883300812,70,50,24,0.1565571427345276,0.1534604728221893,0.3576576902172912,-0.00430867075920105,True
prior_draw_16,0.1650706884515332,0.43839535388489315,0.14769744873046875,0.15254105627536774,0.9464266666666666,62.842587958992226,70,48,26,0.1648749560117721,0.1630713045597076,0.29064945931268,-0.012333899736404363,True
prior_draw_17,0.3617696075786655,0.8,0.1492064744234085,0.15429075062274933,0.9462666666666667,63.57896866698866,70,50,24,0.1517609357833862,0.1470362395048141,0.6613947508444735,0.002529814839363126,False
prior_draw_18,0.2270496422106454,0.7997010770920941,0.15215475857257843,0.15748189389705658,0.9468266666666667,65.33709879200615,70,53,21,0.1530169248580932,0.1498976349830627,0.4053512059153843,0.004464969038963373,False
prior_draw_19,0.1747949476437283,0.799648797676882,0.1489514410495758,0.15263129770755768,0.94576,67.82920729200123,70,48,26,0.1624222099781036,0.1622007340192794,0.3072857704958968,-0.009790912270545932,True
