label,method,eta0,trees,eta,control_logloss,test_logloss,test_accuracy,training_wall_seconds
prior_draw_00,analytic_quadratic_q,0.059326648702881,50,0.08981584463007825,0.5127091407775879,0.515574038028717,0.7854933333333334,1.6798385840083938
prior_draw_00,analytic_quadratic_q,0.059326648702881,100,0.15012026297375272,0.43581631779670715,0.43939271569252014,0.8126666666666666,3.6167845000018133
prior_draw_00,analytic_quadratic_q,0.059326648702881,150,0.1302727174884471,0.3901236653327942,0.39303985238075256,0.8357333333333333,5.975432749997708
prior_draw_00,analytic_quadratic_q,0.059326648702881,200,0.22331504798564644,0.3370914161205292,0.33959683775901794,0.8620266666666667,8.706613292000839
prior_draw_00,analytic_quadratic_q,0.059326648702881,250,0.47819646760667556,0.26450154185295105,0.26691943407058716,0.8949866666666667,11.983744334007497
prior_draw_00,analytic_quadratic_q,0.059326648702881,300,0.8,0.20852966606616974,0.21186839044094086,0.9176266666666667,15.605735749995802
prior_draw_00,analytic_quadratic_q,0.059326648702881,350,0.5637504717749707,0.18589797616004944,0.18798524141311646,0.92816,19.691395959001966
prior_draw_00,analytic_quadratic_q,0.059326648702881,400,0.5842210139833817,0.17415499687194824,0.1755024939775467,0.93368,24.037411500001326
prior_draw_00,analytic_quadratic_q,0.059326648702881,450,0.8,0.164594829082489,0.165522500872612,0.9370666666666667,28.836371500001405
prior_draw_00,analytic_quadratic_q,0.059326648702881,500,0.8,0.15886065363883972,0.1604928821325302,0.93944,34.09773562500777
prior_draw_00,analytic_quadratic_q,0.059326648702881,550,0.8,0.15446291863918304,0.15690620243549347,0.9407466666666666,40.219986916999915
prior_draw_00,analytic_quadratic_q,0.059326648702881,600,0.8,0.15160168707370758,0.15460917353630066,0.9420266666666667,46.36618191700836
prior_draw_00,analytic_quadratic_q,0.059326648702881,650,0.8,0.14998504519462585,0.1527608186006546,0.9434666666666667,52.68289945900324
prior_draw_00,analytic_quadratic_q,0.059326648702881,700,0.7999999999999999,0.1486373245716095,0.15209440886974335,0.9441866666666666,59.22220787500555
prior_draw_00,analytic_quadratic_q,0.059326648702881,750,0.7363258664957674,0.14854589104652405,0.15100739896297455,0.9453333333333334,66.03565179200086
prior_draw_01,analytic_quadratic_q,0.1354992406859543,50,0.14700761619947866,0.4734467566013336,0.4762296974658966,0.7972533333333334,1.6157335000025341
prior_draw_01,analytic_quadratic_q,0.1354992406859543,100,0.1107423042140877,0.42968204617500305,0.43258702754974365,0.8150666666666667,3.565188708002097
prior_draw_01,analytic_quadratic_q,0.1354992406859543,150,0.07709895193895487,0.39702320098876953,0.39955925941467285,0.8324,5.90369304199703
prior_draw_01,analytic_quadratic_q,0.1354992406859543,200,0.03540513022061024,0.38469791412353516,0.3870437443256378,0.8385333333333334,8.597664792003343
prior_draw_01,analytic_quadratic_q,0.1354992406859543,250,0.04679859099759505,0.3726468086242676,0.3751479983329773,0.8449866666666667,11.775740083001438
prior_draw_01,analytic_quadratic_q,0.1354992406859543,300,0.056819466045505924,0.3619605302810669,0.36452218890190125,0.85136,15.452247082997928
prior_draw_01,analytic_quadratic_q,0.1354992406859543,350,0.08317327130760517,0.35053083300590515,0.3531203269958496,0.8561066666666667,19.555600125007913
prior_draw_01,analytic_quadratic_q,0.1354992406859543,400,0.22443914065676038,0.32023680210113525,0.32269540429115295,0.8699466666666666,24.063578708010027
prior_draw_01,analytic_quadratic_q,0.1354992406859543,450,0.6179182922245776,0.24793338775634766,0.2497628629207611,0.9026133333333334,28.94591033300094
prior_draw_01,analytic_quadratic_q,0.1354992406859543,500,0.8,0.2035829871892929,0.20613820850849152,0.9217066666666667,34.38539454199781
prior_draw_01,analytic_quadratic_q,0.1354992406859543,550,0.8,0.18129229545593262,0.18377737700939178,0.93072,40.097789082996314
prior_draw_01,analytic_quadratic_q,0.1354992406859543,600,0.8,0.1687248945236206,0.17029757797718048,0.9362933333333333,46.29093008300697
prior_draw_01,analytic_quadratic_q,0.1354992406859543,650,0.8,0.15994714200496674,0.16351914405822754,0.9391733333333333,53.121095333000994
prior_draw_01,analytic_quadratic_q,0.1354992406859543,700,0.7995530281495701,0.15633690357208252,0.15928304195404053,0.9414133333333333,60.288328374997946
prior_draw_01,analytic_quadratic_q,0.1354992406859543,750,0.7998728057487413,0.15330465137958527,0.1569918692111969,0.9422933333333333,67.78206933299953
prior_draw_02,analytic_quadratic_q,0.3669775250159692,50,0.5388290895441251,0.34547269344329834,0.3461173474788666,0.85712,1.645915959001286
prior_draw_02,analytic_quadratic_q,0.3669775250159692,100,0.17559665047075734,0.2971014678478241,0.29837334156036377,0.8782666666666666,3.736520209000446
prior_draw_02,analytic_quadratic_q,0.3669775250159692,150,0.2314352789333088,0.2693278193473816,0.27041468024253845,0.8924,6.162995000006049
prior_draw_02,analytic_quadratic_q,0.3669775250159692,200,0.2362021885407657,0.24535804986953735,0.2474304884672165,0.90288,8.984117959000287
prior_draw_02,analytic_quadratic_q,0.3669775250159692,250,0.6414661811979079,0.22166958451271057,0.22349630296230316,0.9158133333333334,12.278661917007412
prior_draw_02,analytic_quadratic_q,0.3669775250159692,300,0.7783266435556636,0.19751392304897308,0.20037934184074402,0.92384,15.885349834003136
prior_draw_02,analytic_quadratic_q,0.3669775250159692,350,0.8,0.17858433723449707,0.18004989624023438,0.9337333333333333,20.007428459008224
prior_draw_02,analytic_quadratic_q,0.3669775250159692,400,0.19796635339607443,0.17140968143939972,0.17403796315193176,0.9357866666666667,24.580964292006684
prior_draw_02,analytic_quadratic_q,0.3669775250159692,450,0.0419771099885128,0.17071835696697235,0.17335784435272217,0.93624,29.525577292006346
prior_draw_02,analytic_quadratic_q,0.3669775250159692,500,0.03,0.17052316665649414,0.1732064187526703,0.9363466666666667,34.876127750001615
prior_draw_02,analytic_quadratic_q,0.3669775250159692,550,0.03,0.1703295111656189,0.17296883463859558,0.9364533333333334,40.337517834006576
prior_draw_02,analytic_quadratic_q,0.3669775250159692,600,0.03,0.17011523246765137,0.17274820804595947,0.9365066666666667,46.364835250002216
prior_draw_02,analytic_quadratic_q,0.3669775250159692,650,0.030125392384423688,0.1698697805404663,0.1724626123905182,0.93664,52.963538875002996
prior_draw_02,analytic_quadratic_q,0.3669775250159692,700,0.03,0.16964301466941833,0.17219361662864685,0.9367733333333333,59.84925300000759
prior_draw_02,analytic_quadratic_q,0.3669775250159692,750,0.042604273571165724,0.16907867789268494,0.17164765298366547,0.9370666666666667,67.68696845900558
prior_draw_03,analytic_quadratic_q,0.6166301227584332,50,0.5386544016275623,0.35158535838127136,0.34765124320983887,0.86136,1.6605252089939313
prior_draw_03,analytic_quadratic_q,0.6166301227584332,100,0.5467845344655193,0.26560157537460327,0.2659880220890045,0.90008,3.685574541988899
prior_draw_03,analytic_quadratic_q,0.6166301227584332,150,0.7853057723226065,0.22816281020641327,0.22778739035129547,0.9177866666666666,6.139458958990872
prior_draw_03,analytic_quadratic_q,0.6166301227584332,200,0.47845045564645183,0.21099354326725006,0.2098892778158188,0.9250933333333333,8.913953999988735
prior_draw_03,analytic_quadratic_q,0.6166301227584332,250,0.15280328605452265,0.20597316324710846,0.20473860204219818,0.9272533333333334,12.239822499992442
prior_draw_03,analytic_quadratic_q,0.6166301227584332,300,0.03,0.20500734448432922,0.20382779836654663,0.9277333333333333,15.941970124986256
prior_draw_03,analytic_quadratic_q,0.6166301227584332,350,0.03,0.20450399816036224,0.20342019200325012,0.92816,19.898192458989797
prior_draw_03,analytic_quadratic_q,0.6166301227584332,400,0.17307106216445858,0.20323434472084045,0.20199598371982574,0.9286666666666666,24.29108179199102
prior_draw_03,analytic_quadratic_q,0.6166301227584332,450,0.8,0.19422969222068787,0.1927684098482132,0.9322133333333333,29.107509583991487
prior_draw_03,analytic_quadratic_q,0.6166301227584332,500,0.8,0.183005228638649,0.18098048865795135,0.93792,34.83317916699161
prior_draw_03,analytic_quadratic_q,0.6166301227584332,550,0.8,0.1768602877855301,0.17572732269763947,0.9398133333333333,40.791388999990886
prior_draw_03,analytic_quadratic_q,0.6166301227584332,600,0.8,0.1737131029367447,0.17130467295646667,0.9416533333333333,47.27240479199099
prior_draw_03,analytic_quadratic_q,0.6166301227584332,650,0.5982298099141281,0.17150743305683136,0.16903845965862274,0.9428266666666667,53.927690416996484
prior_draw_03,analytic_quadratic_q,0.6166301227584332,700,0.8,0.1693977415561676,0.16726835072040558,0.9432533333333334,61.04680587499752
prior_draw_03,analytic_quadratic_q,0.6166301227584332,750,0.8,0.1683313548564911,0.16672320663928986,0.94384,68.44175570899097
prior_draw_04,analytic_quadratic_q,0.2408243494341458,50,0.3282514134267497,0.40834876894950867,0.4106535017490387,0.8260533333333333,1.5588824169972213
prior_draw_04,analytic_quadratic_q,0.2408243494341458,100,0.21530053336456287,0.3446505069732666,0.3462182581424713,0.8586933333333333,3.5446613329986576
prior_draw_04,analytic_quadratic_q,0.2408243494341458,150,0.1477995553696605,0.3149838149547577,0.31603550910949707,0.87264,5.958603999999468
prior_draw_04,analytic_quadratic_q,0.2408243494341458,200,0.1018477783960335,0.3009658753871918,0.3023660182952881,0.87872,8.85932791698724
prior_draw_04,analytic_quadratic_q,0.2408243494341458,250,0.3063891644216066,0.27168506383895874,0.2727152109146118,0.89304,12.325629249986378
prior_draw_04,analytic_quadratic_q,0.2408243494341458,300,0.8,0.21619528532028198,0.21578224003314972,0.9174133333333333,16.32477595799719
prior_draw_04,analytic_quadratic_q,0.2408243494341458,350,0.8,0.18900078535079956,0.19064143300056458,0.9283466666666667,20.595599749998655
prior_draw_04,analytic_quadratic_q,0.2408243494341458,400,0.8,0.17538371682167053,0.17587679624557495,0.9352266666666667,25.166490249990602
prior_draw_04,analytic_quadratic_q,0.2408243494341458,450,0.8,0.16616784036159515,0.16804642975330353,0.9377333333333333,29.99980424999376
prior_draw_04,analytic_quadratic_q,0.2408243494341458,500,0.8,0.1611851006746292,0.16309170424938202,0.94016,35.50031104199297
prior_draw_04,analytic_quadratic_q,0.2408243494341458,550,0.7999999999999999,0.15793545544147491,0.15910883247852325,0.9419733333333333,41.478183374987566
prior_draw_04,analytic_quadratic_q,0.2408243494341458,600,0.8,0.15570999681949615,0.1572837233543396,0.9427466666666666,48.03595399999176
prior_draw_04,analytic_quadratic_q,0.2408243494341458,650,0.5957452362175814,0.15426434576511383,0.156403049826622,0.9438133333333333,54.65397304198996
prior_draw_04,analytic_quadratic_q,0.2408243494341458,700,0.763162399223268,0.153405100107193,0.15558961033821106,0.9446666666666667,61.64637704199413
prior_draw_04,analytic_quadratic_q,0.2408243494341458,750,0.5267382940168011,0.1530393809080124,0.15573573112487793,0.9447466666666666,69.15988333299174
prior_draw_05,analytic_quadratic_q,0.2126839594718725,50,0.4247548941712001,0.38131090998649597,0.3829623758792877,0.8428,1.6449133749993052
prior_draw_05,analytic_quadratic_q,0.2126839594718725,100,0.29935868202500127,0.31539449095726013,0.3171157240867615,0.87208,3.735398750010063
prior_draw_05,analytic_quadratic_q,0.2126839594718725,150,0.6096675952413223,0.25599318742752075,0.2562614679336548,0.9010133333333333,6.220865499999491
prior_draw_05,analytic_quadratic_q,0.2126839594718725,200,0.46335455861137514,0.22074168920516968,0.22142969071865082,0.9149866666666666,9.03694204200292
prior_draw_05,analytic_quadratic_q,0.2126839594718725,250,0.7999999999999999,0.19610710442066193,0.19591009616851807,0.9259466666666667,12.523012334000668
prior_draw_05,analytic_quadratic_q,0.2126839594718725,300,0.7999999999999999,0.17900502681732178,0.18065951764583588,0.93216,16.39258925001195
prior_draw_05,analytic_quadratic_q,0.2126839594718725,350,0.8,0.1678932011127472,0.17009411752223969,0.9373866666666667,20.518380250010523
prior_draw_05,analytic_quadratic_q,0.2126839594718725,400,0.4893737316794463,0.16219371557235718,0.16427195072174072,0.93952,25.155250625000917
prior_draw_05,analytic_quadratic_q,0.2126839594718725,450,0.44947252890406697,0.15851815044879913,0.16029900312423706,0.9411466666666667,30.41046462500526
prior_draw_05,analytic_quadratic_q,0.2126839594718725,500,0.4920108718723001,0.15637801587581635,0.15849940478801727,0.94184,35.919429708999814
prior_draw_05,analytic_quadratic_q,0.2126839594718725,550,0.4680981829833257,0.15462259948253632,0.15668778121471405,0.9426666666666667,41.665463167009875
prior_draw_05,analytic_quadratic_q,0.2126839594718725,600,0.2822232797576289,0.15351073443889618,0.15605859458446503,0.94272,47.56845383399923
prior_draw_05,analytic_quadratic_q,0.2126839594718725,650,0.19894704106505579,0.15283122658729553,0.15547852218151093,0.9433866666666667,53.862822875002166
prior_draw_05,analytic_quadratic_q,0.2126839594718725,700,0.14961132483933623,0.15229086577892303,0.15507633984088898,0.9438133333333333,60.52896758400311
prior_draw_05,analytic_quadratic_q,0.2126839594718725,750,0.08756054416436455,0.15207770466804504,0.15490080416202545,0.9439733333333333,67.88822466701095
prior_draw_06,analytic_quadratic_q,0.2681856460892622,50,0.7506960491131563,0.33118265867233276,0.33648139238357544,0.8638933333333333,1.690406791996793
prior_draw_06,analytic_quadratic_q,0.2681856460892622,100,0.6312174424468615,0.25841426849365234,0.26400965452194214,0.89704,3.764408041999559
prior_draw_06,analytic_quadratic_q,0.2681856460892622,150,0.3418393479359363,0.22570952773094177,0.230930358171463,0.91144,6.1863892920082435
prior_draw_06,analytic_quadratic_q,0.2681856460892622,200,0.38131223277393544,0.20356720685958862,0.20916777849197388,0.9200533333333333,9.021860916996957
prior_draw_06,analytic_quadratic_q,0.2681856460892622,250,0.15128029773319562,0.19619837403297424,0.20209476351737976,0.9233866666666667,12.261290666996501
prior_draw_06,analytic_quadratic_q,0.2681856460892622,300,0.03439506225822357,0.1949862539768219,0.20087389647960663,0.92376,15.81388300000981
