seed,method,eta0,hyper_lr,val_logloss,test_logloss,test_auc,eta_final
0,fixed_0.03,0.03,,0.16265782910227625,0.1617770934247841,0.9780092592592593,
0,fixed_0.1,0.1,,0.12860055941702694,0.12652166854465038,0.9818121693121693,
0,fixed_0.2,0.2,,0.13897632859867004,0.12493801183977582,0.9844576719576719,
0,fixed_tuned,0.1,,0.12860055941702694,0.12652166854465038,0.9818121693121693,
0,hyper_e0.1_h0.05,0.1,0.05,0.14794605869475594,0.12266055250101164,0.9828042328042329,0.24195380513945972
0,hyper_e0.1_h0.2,0.1,0.2,0.12044887806029629,0.13309195189800138,0.984457671957672,0.46658448298326916
0,hyper_e0.1_h1.0,0.1,1.0,0.10174768388795923,0.12027720994062789,0.9834656084656084,0.47774237165584815
0,hyper_e0.1_h5.0,0.1,5.0,0.11096061579465683,0.11806506982059883,0.9857804232804233,0.28889650319160143
0,hyper_tuned,0.1,1.0,0.10174768388795923,0.12027720994062789,0.9834656084656084,0.47774237165584815
0,val_linesearch,,,0.14109927285775695,0.16905030797261064,0.9761904761904762,0.0010530287161377209
1,fixed_0.03,0.03,,0.15154307678473192,0.1155838976895537,0.9976851851851851,
1,fixed_0.1,0.1,,0.11893660252494836,0.05996746605780279,0.9993386243386243,
1,fixed_0.2,0.2,,0.1371940970089889,0.04971049784351576,0.9993386243386243,
1,fixed_tuned,0.1,,0.11893660252494836,0.05996746605780279,0.9993386243386243,
1,hyper_e0.1_h0.05,0.1,0.05,0.1304591080573139,0.05513865539413008,0.9993386243386243,0.24503723871776442
1,hyper_e0.1_h0.2,0.1,0.2,0.13581628835241794,0.05010059297221117,1.0,0.45924947272989414
1,hyper_e0.1_h1.0,0.1,1.0,0.14357512537945052,0.04063193923214406,1.0,0.4288239919808541
1,hyper_e0.1_h5.0,0.1,5.0,0.1254112615572615,0.04193771672245414,0.9996693121693121,0.3087322215249141
1,hyper_tuned,0.1,5.0,0.1254112615572615,0.04193771672245414,0.9996693121693121,0.3087322215249141
1,val_linesearch,,,0.11922620705211655,0.062347834632467125,0.9983465608465608,0.0010530287161377209
2,fixed_0.03,0.03,,0.15163326436643865,0.13423471160663653,0.9904100529100529,
2,fixed_0.1,0.1,,0.12089068617295556,0.09732683332712054,0.9884259259259259,
2,fixed_0.2,0.2,,0.13622087196402954,0.10744474635122812,0.9871031746031746,
2,fixed_tuned,0.1,,0.12089068617295556,0.09732683332712054,0.9884259259259259,
2,hyper_e0.1_h0.05,0.1,0.05,0.14352812910701696,0.1176006881974855,0.9818121693121693,0.24213645539871118
2,hyper_e0.1_h0.2,0.1,0.2,0.1350551836507581,0.11903576546842358,0.9854497354497355,0.4580054024204652
2,hyper_e0.1_h1.0,0.1,1.0,0.13657647504229475,0.12627289462325442,0.9814814814814814,0.4628565508714358
2,hyper_e0.1_h5.0,0.1,5.0,0.1458921661539853,0.12253197091872717,0.982473544973545,0.1691979506845848
2,hyper_tuned,0.1,0.2,0.1350551836507581,0.11903576546842358,0.9854497354497355,0.4580054024204652
2,val_linesearch,,,0.11689031817655375,0.09172149626440997,0.9877645502645502,0.0010530287161377209
3,fixed_0.03,0.03,,0.2376699731542332,0.15909083743479402,0.9895833333333335,
3,fixed_0.1,0.1,,0.22398826546762607,0.10323755019632515,0.9947089947089947,
3,fixed_0.2,0.2,,0.2221355414285666,0.10710119365963953,0.9940476190476191,
3,fixed_tuned,0.2,,0.2221355414285666,0.10710119365963953,0.9940476190476191,
3,hyper_e0.1_h0.05,0.1,0.05,0.2158808269042038,0.1130252304606077,0.9930555555555556,0.22614034165574265
3,hyper_e0.1_h0.2,0.1,0.2,0.2156137585681803,0.10530910775214965,0.9943783068783069,0.4184704087436896
3,hyper_e0.1_h1.0,0.1,1.0,0.24473360463856586,0.10682919127860871,0.9943783068783069,0.43877713853002487
3,hyper_e0.1_h5.0,0.1,5.0,0.2452317179012743,0.12378638965136128,0.9933862433862435,0.21187900689203024
3,hyper_tuned,0.1,0.2,0.2156137585681803,0.10530910775214965,0.9943783068783069,0.4184704087436896
3,val_linesearch,,,0.22230231465194097,0.14408414586211724,0.9879298941798942,0.0010530287161377209
4,fixed_0.03,0.03,,0.17106475281653774,0.1647254842509504,0.9888634130363577,
4,fixed_0.1,0.1,,0.14265719138990204,0.1296625014930527,0.9908286930887651,
4,fixed_0.2,0.2,,0.16624109702342194,0.16108920498501103,0.9872256796593515,
4,fixed_tuned,0.1,,0.14265719138990204,0.1296625014930527,0.9908286930887651,
4,hyper_e0.1_h0.05,0.1,0.05,0.16435056826624275,0.15083345716770247,0.9868981329839503,0.23806896210676315
4,hyper_e0.1_h0.2,0.1,0.2,0.17982144253397073,0.16012862181204543,0.9882083196855552,0.4392357521373794
4,hyper_e0.1_h1.0,0.1,1.0,0.17147689633844335,0.15901813961032277,0.9842777595807403,0.41203465578947773
4,hyper_e0.1_h5.0,0.1,5.0,0.16035786292139254,0.14928898124007828,0.9865705863085489,0.02064505218208498
4,hyper_tuned,0.1,5.0,0.16035786292139254,0.14928898124007828,0.9865705863085489,0.02064505218208498
4,val_linesearch,,,0.14161056094620159,0.15467265892491863,0.9875532263347526,0.0010530287161377209
