label,eta0,cq_final_eta,cq_control_logloss,cq_test_logloss,cq_test_accuracy,cq_final_wall_seconds,cq_labels_matured,cq_greedy_blocks,cq_random_blocks,cq_boundary_eta_fraction,hypergrad_test_logloss,cq_minus_hypergrad_test_logloss,cq_beats_hypergrad,discrete_q_test_logloss,cq_minus_discrete_q_test_logloss,cq_beats_discrete_q
prior_draw_00,0.059326648702881,0.8,0.1501093953847885,0.1534184366464615,0.9455466666666666,69.4167269160098,70,48,26,0.5066666666666667,0.2400565147399902,-0.08663807809352872,True,0.1532568782567978,0.0001615583896636963,False
prior_draw_01,0.1354992406859543,0.8,0.15761522948741913,0.16268672049045563,0.9396266666666667,67.45041687499906,70,50,24,0.28,0.1769435405731201,-0.014256820082664462,True,0.1550340354442596,0.007652685046196039,False
prior_draw_02,0.3669775250159692,0.03,0.2150728851556778,0.21590721607208252,0.9178133333333334,68.48331062500074,70,46,28,0.4666666666666667,0.1528480499982834,0.06305916607379913,False,0.1554797142744064,0.060427501797676114,False
prior_draw_03,0.6166301227584332,0.8,0.16943268477916718,0.16840285062789917,0.94368,68.07016529099201,70,50,24,0.3466666666666667,0.1706008911132812,-0.0021980404853820246,True,0.1680847406387329,0.00031810998916625977,False
prior_draw_04,0.2408243494341458,0.500950115835084,0.15280137956142426,0.1549515575170517,0.9446933333333334,68.45175066700904,70,47,27,0.5066666666666667,0.1544740796089172,0.0004774779081344882,False,0.154863566160202,8.799135684969817e-05,False
prior_draw_05,0.2126839594718725,0.2817153663055383,0.1489037275314331,0.15137924253940582,0.9456,70.02554487499583,70,51,23,0.0,0.1548544019460678,-0.0034751594066619873,True,0.1553837954998016,-0.004004552960395785,True
prior_draw_06,0.2681856460892622,0.8,0.15847744047641754,0.16509051620960236,0.93984,69.76583304199448,70,49,25,0.21333333333333335,0.1522252112627029,0.01286530494689947,False,0.1554028838872909,0.009687632322311457,False
prior_draw_07,0.0896021024048805,0.28280736643108967,0.16077299416065216,0.16502879559993744,0.9387733333333333,67.30807825000375,70,49,25,0.0,0.2054028809070587,-0.04037408530712125,True,0.1535953432321548,0.011433452367782648,False
prior_draw_08,0.0651635368947266,0.8,0.1507643759250641,0.15562105178833008,0.9438933333333334,66.73749829200096,70,45,29,0.37333333333333335,0.2286701500415802,-0.07304909825325012,True,0.159409150481224,-0.0037880986928939264,True
prior_draw_09,0.0784268575411474,0.03,0.24771659076213837,0.2498113214969635,0.90368,67.34829095899477,70,50,24,0.14666666666666667,0.2129226773977279,0.03688864409923559,False,0.1536998301744461,0.0961114913225174,False
prior_draw_10,0.3366699959071564,0.6362361002619522,0.1485416740179062,0.1522684395313263,0.9468266666666667,67.959846208003,70,49,25,0.13333333333333333,0.1528695821762085,-0.0006011426448822021,True,0.1547471135854721,-0.002478674054145813,True
prior_draw_11,0.1439961245546504,0.8,0.1506151258945465,0.15370361506938934,0.9440533333333333,68.12267387499742,70,47,27,0.32,0.1746314615011215,-0.02092784643173215,True,0.1534008532762527,0.0003027617931366522,False
prior_draw_12,0.7580901256191636,0.03344103379763958,0.2100076973438263,0.21532820165157318,0.9283733333333334,69.42477604201122,70,49,25,0.0,0.1817702800035476,0.03355792164802557,False,0.1861102432012558,0.029217958450317383,False
prior_draw_13,0.2897254314148548,0.0567869316096462,0.14993242919445038,0.1545119285583496,0.9444266666666666,67.80300991600961,70,47,27,0.0,0.1527904421091079,0.0017214864492417215,False,0.1557894200086593,-0.001277491450309698,True
prior_draw_14,0.2536583778209944,0.6369592742973762,0.14742326736450195,0.15505541861057281,0.94624,68.97059091599658,70,47,27,0.3333333333333333,0.1526093482971191,0.002446070313453702,False,0.1559432297945022,-0.0008878111839293878,True
prior_draw_15,0.2028722393431973,0.03,0.16773547232151031,0.17110015451908112,0.93608,68.25763154200104,70,49,25,0.17333333333333334,0.1565571427345276,0.014543011784553528,False,0.1522484719753265,0.018851682543754605,False
prior_draw_16,0.1650706884515332,0.7192450586024175,0.15037871897220612,0.15550844371318817,0.9448266666666667,69.7890817909938,70,44,30,0.29333333333333333,0.1648749560117721,-0.009366512298583929,True,0.1525410562753677,0.0029673874378204623,False
prior_draw_17,0.3617696075786655,0.6068296309360562,0.14951364696025848,0.15303997695446014,0.9457066666666667,71.31023854199157,70,50,24,0.10666666666666667,0.1517609357833862,0.0012790411710739413,False,0.1542907506227493,-0.0012507736682891568,True
prior_draw_18,0.2270496422106454,0.1299840291835531,0.15154843032360077,0.1530338078737259,0.9437333333333333,70.3037460839987,70,51,23,0.12,0.1530169248580932,1.6883015632684906e-05,False,0.1574818938970565,-0.004448086023330605,True
prior_draw_19,0.1747949476437283,0.8,0.15034672617912292,0.151914581656456,0.9462666666666667,67.08548983400397,70,43,31,0.3466666666666667,0.1624222099781036,-0.010507628321647616,True,0.1526312977075576,-0.0007167160511016013,True
